code,name,overall,treatment,morale,openness,growth_20s,longterm,compliance,evaluation,respondents,fetched_at,source_url,status
1948,,,,,,,,,,,2026-09-01,,unavailable
2001,,,,,,,,,,,2026-09-01,,unavailable
2674,,,,,,,,,,,2026-09-01,,unavailable
3191,,,,,,,,,,,2026-09-01,,unavailable
3480,,,,,,,,,,,2026-09-01,,unavailable
4800,,,,,,,,,,,2026-09-01,,unavailable
4958,,,,,,,,,,,2026-09-01,,unavailable
5195,,,,,,,,,,,2026-09-01,,unavailable
5644,,,,,,,,,,,2026-09-01,,unavailable
5844,,,,,,,,,,,2026-09-01,,unavailable
6197,,,,,,,,,,,2026-09-01,,unavailable
6238,,,,,,,,,,,2026-09-01,,unavailable
7716,,,,,,,,,,,2026-09-01,,unavailable
7818,,,,,,,,,,,2026-09-01,,unavailable
8370,,,,,,,,,,,2026-09-01,,unavailable
8386,,,,,,,,,,,2026-09-01,,unavailable
8395,,,,,,,,,,,2026-09-01,,unavailable
8511,,,,,,,,,,,2026-09-01,,unavailable
8591,,,,,,,,,,,2026-09-01,,unavailable
8795,,,,,,,,,,,2026-09-01,,unavailable
9039,,,,,,,,,,,2026-09-01,,unavailable
9048,,,,,,,,,,,2026-09-01,,unavailable
9076,,,,,,,,,,,2026-09-01,,unavailable
9401,,,,,,,,,,,2026-09-01,,unavailable
9436,,,,,,,,,,,2026-09-01,,unavailable
6178,,,,,,,,,,,2026-09-01,,unavailable
7979,,,,,,,,,,,2026-09-01,,unavailable
8508,,,,,,,,,,,2026-09-01,,unavailable
8739,,,,,,,,,,,2026-09-01,,unavailable
2410,,,,,,,,,,,2026-09-01,,unavailable
3407,,,,,,,,,,,2026-09-01,,unavailable
3776,,,,,,,,,,,2026-09-01,,unavailable
3950,,,,,,,,,,,2026-09-01,,unavailable
3989,,,,,,,,,,,2026-09-01,,unavailable
4188,,,,,,,,,,,2026-09-01,,unavailable
4634,,,,,,,,,,,2026-09-01,,unavailable
7180,,,,,,,,,,,2026-09-01,,unavailable
7182,,,,,,,,,,,2026-09-01,,unavailable
7189,,,,,,,,,,,2026-09-01,,unavailable
7322,,,,,,,,,,,2026-09-01,,unavailable
7337,,,,,,,,,,,2026-09-01,,unavailable
7366,,,,,,,,,,,2026-09-01,,unavailable
8283,,,,,,,,,,,2026-09-01,,unavailable
8304,,,,,,,,,,,2026-09-01,,unavailable
8308,,,,,,,,,,,2026-09-01,,unavailable
8341,,,,,,,,,,,2026-09-01,,unavailable
8346,,,,,,,,,,,2026-09-01,,unavailable
8354,,,,,,,,,,,2026-09-01,,unavailable
8358,,,,,,,,,,,2026-09-01,,unavailable
8359,,,,,,,,,,,2026-09-01,,unavailable
8377,,,,,,,,,,,2026-09-01,,unavailable
8381,,,,,,,,,,,2026-09-01,,unavailable
8411,,,,,,,,,,,2026-09-01,,unavailable
8697,,,,,,,,,,,2026-09-01,,unavailable
8704,,,,,,,,,,,2026-09-01,,unavailable
8750,,,,,,,,,,,2026-09-01,,unavailable
9147,,,,,,,,,,,2026-09-01,,unavailable
9831,,,,,,,,,,,2026-09-01,,unavailable
7186,,,,,,,,,,,2026-09-01,,unavailable
7283,,,,,,,,,,,2026-09-01,,unavailable
7380,,,,,,,,,,,2026-09-01,,unavailable
7384,,,,,,,,,,,2026-09-01,,unavailable
